,acchr,dayofweek,accmon,accday,num
3079,10,2,12,5,1
3080,7,5,2,24,1
3082,7,3,3,15,1
3088,19,7,4,9,1
3093,7,4,6,22,1
3103,10,7,10,15,1
3105,0,6,11,25,1
3132,21,6,10,14,1
3196,18,7,2,19,1
3197,7,5,3,24,1
3198,6,5,4,7,1
3203,21,5,5,5,1
3207,1,1,5,8,1
3209,15,4,6,29,1
3252,6,4,1,12,1
3254,15,3,3,22,1
3272,13,4,3,23,1
3276,21,2,7,11,1
3279,2,5,1,27,1
3283,21,2,1,31,1
3288,17,3,4,19,1
3292,22,3,5,17,1
3303,19,5,8,4,1
3304,9,4,8,24,1
3306,22,5,10,13,1
3323,15,3,3,29,1
3328,20,3,10,11,1
3329,18,3,10,11,1
3333,13,7,10,1,1
3345,18,5,2,3,1
3348,18,6,4,15,1
3370,14,3,11,15,1
3389,17,1,5,22,1
3402,9,1,8,7,1
3424,6,1,5,22,1
3428,15,5,3,10,1
3449,15,3,6,21,1
3453,20,2,1,3,1
3454,16,3,2,8,1
3455,7,1,2,27,1
3456,15,4,7,20,1
3464,21,5,4,14,1
3468,16,1,7,3,1
3482,18,1,1,16,1
3505,15,1,5,15,1
3509,19,6,6,10,1
3519,16,4,8,24,1
3526,22,7,9,17,1
3527,6,7,10,22,1
3546,13,3,3,8,1
3553,20,6,3,25,1
3560,13,6,6,17,1
3567,18,4,10,12,1
3596,14,7,6,4,1
3611,6,2,10,3,1
3613,9,7,10,15,1
3617,19,2,12,5,1
3661,5,2,5,2,1
3665,17,2,5,16,1
3672,8,3,5,31,1
3675,23,2,5,30,1
3681,4,3,6,14,1
3710,20,7,6,25,1
3721,5,6,7,1,1
3732,20,4,9,7,1
3743,7,7,10,8,1
3775,18,6,12,2,1
3776,15,2,12,5,1
3806,11,3,6,21,1
3823,13,7,5,28,1
3937,8,7,12,3,1
3940,18,1,1,16,1
3949,7,6,4,1,1
3950,20,3,4,5,1
3956,6,3,4,19,1
3957,20,1,4,24,1
3961,10,2,5,2,1
3967,14,2,6,13,1
3976,0,7,9,10,1
4038,10,5,6,30,1
4048,11,2,10,31,1
4064,10,1,1,9,1
4077,15,4,6,8,1
4096,10,2,10,24,1
4099,8,2,11,21,1
4104,1,6,12,2,1
4139,9,2,1,24,1
4149,18,3,4,26,1
4151,21,5,6,2,1
4155,16,7,6,25,1
4161,19,7,7,23,1
4167,16,1,9,4,1
4169,12,5,9,15,1
4174,15,1,10,23,1
4178,9,4,11,16,1
4188,5,7,1,15,1
4192,5,4,2,16,1
4206,10,6,5,13,1
4208,12,4,5,11,1
4211,12,6,5,20,1
4221,12,1,8,7,1
4264,13,4,3,9,1
4269,2,1,6,19,1
4285,0,7,12,10,1
4317,2,7,8,27,1
4337,7,4,3,9,1
4350,9,1,9,4,1
4354,19,3,12,20,1
4356,22,7,1,8,1
4360,20,1,3,20,1
4362,20,1,4,24,1
4363,20,2,5,2,1
4370,16,5,8,18,1
4371,12,1,8,21,1
4374,11,7,12,24,1
4378,16,7,1,29,1
4379,15,4,2,16,1
4385,20,6,4,22,1
4386,6,4,4,13,1
4394,15,2,6,20,1
4413,13,2,9,19,1
4414,18,5,10,13,1
4419,14,7,10,22,1
4424,5,2,11,21,1
4444,16,3,8,2,1
4449,14,7,10,29,1
4475,17,4,4,20,1
4495,14,5,9,15,1
4595,13,2,1,3,1
4596,14,1,1,23,1
4618,2,6,6,10,1
4628,22,2,8,1,1
4631,5,6,8,5,1
4640,11,3,10,4,1
4647,7,3,11,8,1
4663,18,7,12,24,1
4669,16,4,1,26,1
4670,10,6,2,11,1
4673,5,2,4,11,1
4688,17,5,6,23,1
4689,9,7,6,25,1
4690,23,5,6,30,1
4696,15,2,7,4,1
4697,14,2,7,11,1
4701,22,1,8,14,1
4723,7,7,2,26,1
4734,13,6,5,6,1
4737,22,1,6,5,1
4743,6,4,7,13,1
4752,20,3,8,9,1
4756,9,3,10,11,1
4784,22,5,2,3,1
4802,12,5,5,12,1
4803,7,5,5,5,1
4831,17,5,12,29,1
4841,13,4,2,23,1
4853,23,2,7,11,1
4857,21,2,8,1,1
4860,18,4,9,21,1
4866,13,7,11,5,1
4901,18,6,6,10,1
4921,12,6,10,14,1
4925,14,6,9,16,1
4930,8,3,9,20,1
5012,2,1,10,2,1
5043,10,4,2,9,1
5048,5,7,3,12,1
5069,1,1,11,20,1
5070,14,5,12,8,1
5081,4,6,5,20,1
5093,9,6,9,23,1
5104,21,5,5,19,1
5108,15,6,6,3,1
5113,18,7,6,18,1
5115,16,2,8,8,1
5119,13,2,11,21,1
5139,6,2,6,13,1
5145,22,2,8,22,1
5147,1,1,8,28,1
5171,7,6,7,1,1
5183,4,2,11,14,1
5186,16,6,12,2,1
5219,16,4,8,10,1
5220,7,1,8,21,1
5246,10,6,11,4,1
5257,18,6,4,22,1
5273,7,6,8,19,1
5277,19,1,9,18,1
5284,6,5,11,17,1
5324,13,1,3,13,1
5350,13,2,6,6,1
5362,19,7,6,25,1
5406,22,6,10,28,1
5414,20,6,11,4,1
5430,16,2,12,12,1
5442,12,3,12,20,1
5487,22,6,7,15,1
5587,9,3,2,15,1
5606,11,4,6,22,1
5627,1,7,5,14,1
5644,16,4,2,9,1
5659,16,5,5,19,1
5660,17,3,6,7,1
5667,7,2,8,8,1
5675,4,3,9,13,1
5678,16,2,9,12,1
5684,5,6,11,4,1
5685,4,7,10,22,1
5691,14,3,2,8,1
5710,12,1,7,10,1
5712,13,5,7,14,1
5732,9,1,12,18,1
5761,17,6,9,23,1
5767,16,5,1,20,1
5770,17,5,2,10,1
5775,1,7,2,26,1
5778,18,2,3,14,1
5785,17,6,5,13,1
5790,10,4,5,25,1
5797,17,6,7,8,1
5800,8,2,8,8,1
5820,19,3,11,15,1
5821,10,6,11,4,1
5846,16,3,5,10,1
5847,21,5,6,9,1
5855,7,7,7,30,1
5858,11,6,9,16,1
5861,19,2,11,14,1
5891,13,6,8,12,1
5935,17,1,6,19,1
5948,19,1,8,28,1
5950,6,2,9,12,1
5959,7,2,10,31,1
5974,15,4,8,24,1
5985,6,3,5,17,1
5986,18,7,4,16,1
5987,2,6,7,22,1
5990,16,4,9,28,1
5991,6,4,10,19,1
5998,13,7,3,19,1
6007,13,4,4,13,1
6023,1,7,7,23,1
6129,15,1,10,2,1
6172,7,4,3,9,1
6235,18,2,1,17,1
6237,18,2,1,17,1
6245,11,4,3,30,1
6246,16,3,3,15,1
6253,7,3,5,24,1
6254,22,3,5,24,1
6259,6,4,6,15,1
6260,10,1,6,26,1
6288,18,3,7,26,1
6296,14,3,1,11,1
6302,15,2,2,7,1
6308,5,7,4,2,1
6312,15,6,4,15,1
6313,14,3,3,29,1
6316,0,4,5,4,1
6319,16,2,5,2,1
