,acchr,dayofweek,accmon,accday,num
5935,17,1,6,19,1
5936,14,2,6,20,1
5942,22,3,7,26,1
5950,6,2,9,12,1
5954,7,2,9,26,1
5959,7,2,10,31,1
5966,18,5,2,3,1
5973,20,5,7,7,1
5974,15,4,8,24,1
5980,7,3,10,18,1
5981,5,3,12,6,1
5986,18,7,4,16,1
5992,5,3,11,1,1
6003,5,3,4,5,1
6007,13,4,4,13,1
6009,8,2,5,16,1
6018,18,6,7,8,1
6042,7,7,10,8,1
6054,5,3,8,23,1
6066,11,7,5,7,1
6079,21,5,6,23,1
6082,19,7,9,3,1
6084,16,4,10,19,1
6087,5,7,11,19,1
6093,16,1,7,10,1
6101,12,7,1,15,1
6103,3,1,4,10,1
6106,17,1,4,17,1
6107,2,7,3,19,1
6114,15,7,6,25,1
6115,10,6,7,22,1
6116,8,2,6,20,1
6123,14,5,6,2,1
6131,8,6,11,18,1
6144,18,1,3,13,1
6149,7,2,5,2,1
6150,5,4,5,25,1
6159,11,7,11,26,1
6171,14,3,2,22,1
6174,8,4,3,23,1
6178,17,3,4,26,1
6181,13,2,5,16,1
6184,10,5,5,12,1
6206,4,7,8,6,1
6207,17,1,8,7,1
6210,13,4,8,17,1
6225,8,5,9,1,1
6237,18,2,1,17,1
6238,5,7,1,1,1
6241,6,3,2,1,1
6248,17,5,4,7,1
6250,16,3,4,12,1
6253,7,3,5,24,1
6257,21,7,5,21,1
6259,6,4,6,15,1
6264,11,3,7,19,1
6266,15,5,7,14,1
6271,3,6,8,12,1
6274,19,7,9,10,1
6276,15,7,10,15,1
6277,18,4,10,19,1
6281,16,7,11,19,1
6282,12,5,11,24,1
6285,18,7,12,17,1
6288,18,3,7,26,1
6290,17,2,8,8,1
6302,15,2,2,7,1
6303,3,3,2,8,1
6313,14,3,3,29,1
6321,15,1,5,29,1
6324,7,5,6,30,1
6328,11,5,7,28,1
6331,18,2,7,18,1
6332,11,6,8,5,1
6340,15,6,9,23,1
6343,23,2,10,10,1
6353,12,2,10,31,1
6357,8,7,12,17,1
6379,15,6,10,7,1
6388,9,6,1,14,1
6393,13,7,6,25,1
6410,12,3,1,25,1
6413,7,4,3,30,1
6420,6,4,4,6,1
6421,20,5,5,5,1
6423,16,6,4,1,1
6428,12,1,5,22,1
6442,21,5,8,4,1
6447,20,4,9,28,1
6449,17,4,9,28,1
6456,10,7,10,8,1
6459,6,5,10,20,1
6463,6,2,10,10,1
6464,8,6,10,14,1
6471,21,6,11,11,1
6475,18,1,3,27,1
6476,19,3,7,12,1
6478,11,1,2,20,1
6481,19,4,4,27,1
6489,0,6,5,20,1
6490,1,1,5,22,1
6493,18,2,8,15,1
6498,18,2,11,21,1
6499,19,2,10,3,1
6500,1,7,12,10,1
6516,20,4,1,5,1
6520,6,4,3,9,1
6525,17,1,1,2,1
6545,20,1,7,17,1
6546,6,5,8,4,1
6555,7,5,9,15,1
6560,6,5,12,1,1
6562,14,2,12,26,1
6568,15,3,1,18,1
6571,19,6,1,28,1
6577,17,7,3,12,1
6582,16,1,2,13,1
6583,5,4,3,9,1
6587,19,6,4,29,1
6590,19,3,4,19,1
6595,6,4,5,18,1
6597,19,2,5,16,1
6603,4,5,6,9,1
6604,0,7,6,11,1
6606,1,7,6,25,1
6610,13,1,7,17,1
6612,19,6,7,1,1
6613,17,6,7,29,1
6616,11,6,8,19,1
6619,23,6,8,19,1
6620,23,2,8,22,1
6621,20,5,8,18,1
6626,9,7,9,17,1
6627,5,1,8,14,1
6629,21,7,9,10,1
6635,19,1,10,2,1
6639,9,7,9,24,1
6643,6,5,10,20,1
6645,12,7,11,5,1
6647,23,7,9,24,1
6650,7,2,12,5,1
6651,0,7,10,29,1
6654,18,2,3,7,1
6662,0,7,8,6,1
6668,19,5,2,10,1
6672,9,5,4,7,1
6679,13,3,6,7,1
6684,8,6,6,24,1
6685,18,6,6,24,1
6696,13,6,11,4,1
6698,15,1,11,13,1
6701,5,4,12,21,1
6707,12,7,4,9,1
6716,15,6,8,12,1
6721,18,6,11,4,1
6722,18,2,12,19,1
6723,15,3,12,27,1
6740,16,3,9,20,1
6742,5,5,12,1,1
6748,21,5,3,17,1
6756,15,2,5,9,1
6767,19,4,8,10,1
6772,20,1,8,21,1
6776,15,5,9,8,1
6778,8,6,9,16,1
6780,14,2,10,3,1
6787,23,7,6,4,1
6792,11,6,1,21,1
6795,15,5,1,13,1
6808,14,2,3,28,1
6809,6,3,3,29,1
6823,8,4,7,20,1
6826,10,1,7,10,1
6830,12,7,8,13,1
6837,17,6,9,2,1
6838,1,4,9,7,1
6839,11,7,8,27,1
6842,12,7,10,29,1
6854,13,5,8,4,1
6855,19,6,8,5,1
6875,5,4,5,25,1
6887,6,5,9,29,1
6891,18,7,9,24,1
6895,18,4,11,23,1
6898,14,3,12,6,1
6899,6,2,12,5,1
6906,2,6,12,23,1
6915,12,2,2,14,1
6927,8,2,5,9,1
6933,13,2,6,27,1
6940,14,3,8,2,1
6941,15,3,8,2,1
6942,12,7,8,6,1
6949,13,4,11,30,1
6956,9,2,6,13,1
6959,14,3,1,4,1
6964,10,2,1,17,1
6968,18,2,1,31,1
6969,0,3,2,1,1
6970,5,3,2,1,1
6977,15,6,2,18,1
6985,2,7,3,5,1
6988,5,4,3,30,1
6994,13,5,3,10,1
6997,9,6,4,1,1
7004,4,6,4,22,1
7011,15,5,5,12,1
7012,7,6,5,13,1
7018,4,6,5,27,1
7023,11,3,6,14,1
7024,11,4,6,15,1
7025,14,5,6,16,1
7033,6,3,7,19,1
7044,23,7,6,18,1
7047,10,7,6,25,1
7049,17,1,7,31,1
7051,4,6,7,15,1
7059,22,7,8,6,1
7060,14,6,8,26,1
7063,16,3,10,4,1
7066,3,7,9,10,1
7069,22,3,10,11,1
7073,19,1,9,18,1
7077,15,5,10,6,1
7089,9,1,10,23,1
7095,7,5,9,15,1
7096,9,1,11,27,1
7098,16,5,10,27,1
7104,20,5,11,10,1
7106,18,2,10,31,1
7107,6,3,12,13,1
