,acchr,dayofweek,accmon,accday,num
4017,9,7,1,1,1
4020,14,4,2,9,1
4022,22,2,3,21,1
4023,1,4,3,30,1
4025,16,5,5,5,1
4031,6,5,6,9,1
4033,12,5,6,16,1
4036,13,5,5,19,1
4037,12,7,7,16,1
4041,6,5,8,25,1
4042,12,2,9,12,1
4045,16,3,9,20,1
4047,20,3,10,4,1
4048,11,2,10,31,1
4050,8,4,10,5,1
4053,7,6,9,2,1
4056,19,1,10,9,1
4057,6,6,9,2,1
4139,9,2,1,24,1
4145,11,2,3,28,1
4147,16,4,4,13,1
4151,21,5,6,2,1
4155,16,7,6,25,1
4160,9,4,7,20,1
4161,19,7,7,23,1
4166,13,4,8,24,1
4171,0,1,10,16,1
4174,15,1,10,23,1
4176,17,4,11,2,1
4185,22,4,11,9,1
4193,20,2,3,7,1
4197,4,6,3,25,1
4199,10,1,4,3,1
4201,16,5,4,14,1
4206,10,6,5,13,1
4207,12,1,5,1,1
4208,12,4,5,11,1
4209,7,6,5,13,1
4217,16,1,7,3,1
4221,12,1,8,7,1
4231,2,1,10,16,1
4235,22,7,11,5,1
4240,12,4,12,21,1
4246,17,5,3,17,1
4248,12,6,7,8,1
4249,12,1,10,23,1
4265,21,6,6,10,1
4277,8,6,10,28,1
4278,17,1,9,25,1
4285,0,7,12,10,1
4288,19,7,8,20,1
4290,3,1,7,24,1
4295,17,4,7,27,1
4342,14,3,5,3,1
4343,6,3,5,17,1
4347,22,5,7,7,1
4350,9,1,9,4,1
4378,16,7,1,29,1
4379,15,4,2,16,1
4382,17,3,4,12,1
4383,22,1,4,3,1
4384,18,3,4,12,1
4385,20,6,4,22,1
4387,8,3,4,12,1
4388,2,6,5,6,1
4395,1,2,3,7,1
4402,21,3,8,23,1
4406,2,5,9,22,1
4407,8,2,9,19,1
4408,19,7,10,1,1
4413,13,2,9,19,1
4415,16,3,9,27,1
4419,14,7,10,22,1
4423,15,4,11,30,1
4424,5,2,11,21,1
4438,22,6,3,11,1
4515,14,2,5,30,1
4517,16,5,7,7,1
4518,21,4,7,20,1
4520,1,5,8,25,1
4521,3,6,4,8,1
4522,22,7,5,28,1
4524,22,2,9,26,1
4525,18,2,11,28,1
4526,7,7,10,22,1
4530,14,1,11,6,1
4531,9,1,6,26,1
4535,7,4,11,9,1
