,date,sum,sup1,sup2,sup3
0,1,0.06419240400000001,0.271,0.205,0.444
1,2,,,,
2,3,,,,
3,4,,,,
4,5,,,,
5,6,,,,
6,7,0.054915350999999994,0.24600000000000002,0.19699999999999998,0.439
