,date,sum,sup1,sup2,sup3,sup4,sup5,sup6
0,1,,,,,,,
1,2,0.050212006,0.9009999999999999,0.747,0.6579999999999999,0.39,0.304,0.452
2,3,,,,,,,
3,4,0.051895979,0.897,0.7390000000000001,0.662,0.40700000000000003,0.297,0.452
4,5,,,,,,,
5,6,,,,,,,
6,7,,,,,,,
