,date,sum,sup1,sup2,sup3,sup4,sup5,sup6
0,1,,,,,,,
1,2,,,,,,,
2,3,0.08596918099999999,0.887,0.72,0.66,0.645,0.601,0.457
3,4,0.08660785900000001,0.897,0.7390000000000001,0.662,0.637,0.616,0.452
4,5,0.088222652,0.895,0.741,0.6629999999999999,0.632,0.608,0.45399999999999996
5,6,,,,,,,
6,7,,,,,,,
