,date,sum,sup1,sup2,sup3,sup4
0,1,,,,,
1,2,0.056572194000000006,0.747,0.39,0.33799999999999997,0.452
2,3,,,,,
3,4,,,,,
4,5,,,,,
5,6,,,,,
6,7,,,,,
