,date,sum,sup1,sup2,sup3,sup4,sup5
0,1,,,,,,
1,2,0.058803838,0.747,0.619,0.39,0.304,0.452
2,3,0.057698992000000004,0.72,0.645,0.41700000000000004,0.309,0.457
3,4,0.057394890999999996,0.7390000000000001,0.637,0.40700000000000003,0.297,0.452
4,5,0.055448098,0.741,0.632,0.40700000000000003,0.285,0.45399999999999996
5,6,0.052974879,0.757,0.612,0.38,0.261,0.439
6,7,,,,,,
