,date,sum,sup1,sup2,sup3,sup4,sup5,sup6
0,1,0.05986677,0.868,0.754,0.655,0.557,0.304,0.444
1,2,0.072974782,0.9009999999999999,0.747,0.6579999999999999,0.619,0.39,0.452
2,3,0.076236821,0.887,0.72,0.66,0.645,0.41700000000000004,0.457
3,4,0.077213885,0.897,0.7390000000000001,0.662,0.637,0.40700000000000003,0.452
4,5,0.07339351,0.895,0.741,0.6629999999999999,0.632,0.40700000000000003,0.45399999999999996
5,6,0.071220802,0.888,0.757,0.655,0.612,0.38,0.439
6,7,0.062455540999999996,0.872,0.772,0.653,0.5579999999999999,0.321,0.439
