,date,sum,sup1,sup2,sup3,sup4
0,1,,,,,
1,2,0.053671055999999995,0.625,0.49700000000000005,0.304,0.452
2,3,0.056076932,0.601,0.519,0.309,0.457
3,4,0.056707527,0.616,0.523,0.297,0.452
4,5,0.053406404000000005,0.608,0.51,0.285,0.45399999999999996
5,6,0.053151168,0.632,0.515,0.261,0.439
6,7,,,,,
