,date,sum,sup1,sup2,sup3
0,1,0.12224240900000001,0.868,0.204,0.444
1,2,0.19069404199999998,0.9009999999999999,0.304,0.452
2,3,0.186536902,0.887,0.309,0.457
3,4,0.18570283,0.897,0.297,0.452
4,5,0.174081238,0.895,0.285,0.45399999999999996
5,6,0.15733803400000002,0.888,0.261,0.439
6,7,0.122563665,0.872,0.21100000000000002,0.439
