,date,sum,sup1,sup2,sup3,sup4,sup5
0,1,0.05727139,0.659,0.655,0.205,0.557,0.444
1,2,,,,,,
2,3,,,,,,
3,4,,,,,,
4,5,,,,,,
5,6,,,,,,
6,7,0.057974107000000004,0.655,0.653,0.19699999999999998,0.5579999999999999,0.439
