,date,sum,sup1,sup2,sup3,sup4
0,1,,,,,
1,2,,,,,
2,3,,,,,
3,4,0.131630198,0.897,0.297,0.662,0.452
4,5,,,,,
5,6,,,,,
6,7,,,,,
