,date,sum,sup1,sup2,sup3
0,1,0.10000865099999999,0.659,0.304,0.444
1,2,0.132001785,0.625,0.39,0.452
2,3,0.13613718,0.601,0.41700000000000004,0.457
3,4,0.137014549,0.616,0.40700000000000003,0.452
4,5,0.134966688,0.608,0.40700000000000003,0.45399999999999996
5,6,0.126399295,0.632,0.38,0.439
6,7,0.105207,0.655,0.321,0.439
