,date,sum,sup1,sup2,sup3,sup4
0,1,0.19275023800000002,0.868,0.754,0.557,0.444
1,2,,,,,
2,3,,,,,
3,4,,,,,
4,5,,,,,
5,6,,,,,
6,7,,,,,
