,date,sum,sup1,sup2,sup3,sup4
0,1,,,,,
1,2,0.059138585,0.747,0.33799999999999997,0.304,0.452
2,3,0.055265902,0.72,0.365,0.309,0.457
3,4,0.055103677000000004,0.7390000000000001,0.35,0.297,0.452
4,5,0.054373522,0.741,0.36,0.285,0.45399999999999996
5,6,,,,,
6,7,,,,,
