,date,sum,sup1,sup2,sup3,sup4
0,1,,,,,
1,2,0.058915420999999996,0.9009999999999999,0.39,0.331,0.452
2,3,,,,,
3,4,,,,,
4,5,,,,,
5,6,,,,,
6,7,,,,,
