,date,sum,sup1,sup2,sup3,sup4,sup5
0,1,,,,,,
1,2,,,,,,
2,3,,,,,,
3,4,0.058884179,0.637,0.40700000000000003,0.297,0.662,0.452
4,5,,,,,,
5,6,,,,,,
6,7,,,,,,
