,date,sum,sup1,sup2,sup3,sup4,sup5
0,1,0.06730686,0.868,0.754,0.204,0.655,0.444
1,2,,,,,,
2,3,,,,,,
3,4,0.096918318,0.897,0.7390000000000001,0.297,0.662,0.452
4,5,,,,,,
5,6,,,,,,
6,7,,,,,,
