,date,sum,sup1,sup2,sup3,sup4,sup5,sup6
0,1,,,,,,,
1,2,0.05489846,0.9009999999999999,0.747,0.625,0.619,0.304,0.452
2,3,,,,,,,
3,4,,,,,,,
4,5,,,,,,,
5,6,,,,,,,
6,7,,,,,,,
