,date,sum,sup1,sup2,sup3,sup4
0,1,0.060212821,0.659,0.655,0.204,0.444
1,2,,,,,
2,3,,,,,
3,4,,,,,
4,5,,,,,
5,6,,,,,
6,7,0.057902972999999996,0.655,0.653,0.21100000000000002,0.439
