,date,sum,sup1,sup2,sup3
0,1,0.080802838,0.557,0.271,0.444
1,2,,,,
2,3,,,,
3,4,,,,
4,5,,,,
5,6,,,,
6,7,0.075117371,0.5579999999999999,0.24600000000000002,0.439
