,date,sum,sup1,sup2,sup3,sup4,sup5
0,1,0.056060213,0.754,0.659,0.204,0.868,0.444
1,2,0.081566615,0.747,0.625,0.304,0.9009999999999999,0.452
2,3,0.074614761,0.72,0.601,0.309,0.887,0.457
3,4,0.07755756700000001,0.7390000000000001,0.616,0.297,0.897,0.452
4,5,0.076187406,0.741,0.608,0.285,0.895,0.45399999999999996
5,6,0.071485236,0.757,0.632,0.261,0.888,0.439
6,7,0.054844217,0.772,0.655,0.21100000000000002,0.872,0.439
