,date,sum,sup1,sup2,sup3,sup4
0,1,0.14041007,0.868,0.659,0.557,0.444
1,2,,,,,
2,3,,,,,
3,4,,,,,
4,5,,,,,
5,6,0.144557074,0.888,0.632,0.612,0.439
6,7,0.138284251,0.872,0.655,0.5579999999999999,0.439
