,date,sum,sup1,sup2,sup3,sup4,sup5,sup6
0,1,,,,,,,
1,2,0.054340549,0.9009999999999999,0.747,0.619,0.39,0.304,0.452
2,3,0.052021782,0.887,0.72,0.645,0.41700000000000004,0.309,0.457
3,4,0.05109405400000001,0.897,0.7390000000000001,0.637,0.40700000000000003,0.297,0.452
4,5,,,,,,,
5,6,,,,,,,
6,7,,,,,,,
