,date,sum,sup1,sup2,sup3,sup4,sup5
0,1,,,,,,
1,2,0.073644276,0.39,0.304,0.9009999999999999,0.747,0.452
2,3,,,,,,
3,4,,,,,,
4,5,,,,,,
5,6,0.064169238,0.38,0.261,0.888,0.757,0.439
6,7,,,,,,
