,date,sum,sup1,sup2,sup3,sup4,sup5
0,1,,,,,,
1,2,0.056683776,0.619,0.33799999999999997,0.304,0.9009999999999999,0.452
2,3,,,,,,
3,4,,,,,,
4,5,,,,,,
5,6,,,,,,
6,7,,,,,,
