,date,sum,sup1,sup2,sup3
0,1,0.142832425,0.205,0.868,0.444
1,2,0.08681098,0.114,0.9009999999999999,0.452
2,3,0.082145754,0.107,0.887,0.457
3,4,0.084660328,0.111,0.897,0.452
4,5,0.091661294,0.121,0.895,0.45399999999999996
5,6,0.107360071,0.149,0.888,0.439
6,7,0.138853322,0.19699999999999998,0.872,0.439
