,date,sum,sup1,sup2,sup3,sup4,sup5
0,1,0.09066528199999999,0.754,0.655,0.205,0.868,0.444
1,2,0.051774158,0.747,0.6579999999999999,0.114,0.9009999999999999,0.452
2,3,0.051905920999999994,0.72,0.66,0.107,0.887,0.457
3,4,0.052927025,0.7390000000000001,0.662,0.111,0.897,0.452
4,5,0.057704707,0.741,0.6629999999999999,0.121,0.895,0.45399999999999996
5,6,0.067430586,0.757,0.655,0.149,0.888,0.439
6,7,0.090980225,0.772,0.653,0.19699999999999998,0.872,0.439
