,date,sum,sup1,sup2,sup3,sup4,sup5
0,1,,,,,,
1,2,0.058803838,0.619,0.39,0.304,0.747,0.452
2,3,,,,,,
3,4,,,,,,
4,5,,,,,,
5,6,0.052974879,0.612,0.38,0.261,0.757,0.439
6,7,,,,,,
