,date,sum,sup1,sup2,sup3,sup4,sup5
0,1,0.050177350999999995,0.659,0.655,0.204,0.868,0.444
1,2,,,,,,
2,3,,,,,,
3,4,,,,,,
4,5,,,,,,
5,6,,,,,,
6,7,,,,,,
