,date,sum,sup1,sup2,sup3,sup4,sup5
0,1,0.10684315300000001,0.868,0.754,0.659,0.557,0.444
1,2,,,,,,
2,3,,,,,,
3,4,,,,,,
4,5,,,,,,
5,6,0.11141472,0.888,0.757,0.632,0.612,0.439
6,7,0.10819462199999999,0.872,0.772,0.655,0.5579999999999999,0.439
