,date,sum,sup1,sup2
0,1,0.164201055,0.205,0.444
1,2,0.095068065,0.114,0.452
2,3,0.089445024,0.107,0.457
3,4,0.09336693800000001,0.111,0.452
4,5,0.100365356,0.121,0.45399999999999996
5,6,0.121110621,0.149,0.439
6,7,0.159766681,0.19699999999999998,0.439
