,date,sum,sup1,sup2
0,1,0.056492775999999995,0.10300000000000001,0.444
1,2,0.053447891,0.1,0.452
2,3,0.066620322,0.131,0.457
3,4,0.057509450999999996,0.113,0.452
4,5,0.059531485,0.113,0.45399999999999996
5,6,0.053239312000000004,0.106,0.439
6,7,0.057618438,0.107,0.439
