,date,sum,sup1,sup2,sup3
0,1,,,,
1,2,0.058357509,0.114,0.625,0.452
2,3,,,,
3,4,0.059686104000000004,0.111,0.616,0.452
4,5,0.063829787,0.121,0.608,0.45399999999999996
5,6,0.074834729,0.149,0.632,0.439
6,7,0.100369896,0.19699999999999998,0.655,0.439
