,date,sum,sup1,sup2,sup3,sup4,sup5,sup6
0,1,,,,,,,
1,2,,,,,,,
2,3,,,,,,,
3,4,,,,,,,
4,5,0.051901999000000004,0.6629999999999999,0.608,0.285,0.895,0.632,0.45399999999999996
5,6,,,,,,,
6,7,,,,,,,
