,date,sum,sup1,sup2,sup3,sup4,sup5
0,1,,,,,,
1,2,0.060477572,0.747,0.625,0.304,0.619,0.452
2,3,0.059321052,0.72,0.601,0.309,0.645,0.457
3,4,0.058196815,0.7390000000000001,0.616,0.297,0.637,0.452
4,5,0.058027079,0.741,0.608,0.285,0.632,0.45399999999999996
5,6,0.054208902999999996,0.757,0.632,0.261,0.612,0.439
6,7,,,,,,
