,date,sum,sup1,sup2,sup3,sup4,sup5,sup6
0,1,0.052426680999999996,0.754,0.659,0.205,0.868,0.655,0.444
1,2,,,,,,,
2,3,,,,,,,
3,4,,,,,,,
4,5,,,,,,,
5,6,,,,,,,
6,7,0.054204012,0.772,0.655,0.19699999999999998,0.872,0.653,0.439
