,date,sum,sup1,sup2,sup3
0,1,0.125702915,0.754,0.304,0.444
1,2,0.159004686,0.747,0.39,0.452
2,3,0.160699803,0.72,0.41700000000000004,0.457
3,4,0.164165426,0.7390000000000001,0.40700000000000003,0.452
4,5,0.165484634,0.741,0.40700000000000003,0.45399999999999996
5,6,0.153547818,0.757,0.38,0.439
6,7,0.13287807699999998,0.772,0.321,0.439
