,date,sum,sup1,sup2,sup3,sup4,sup5,sup6
0,1,,,,,,,
1,2,,,,,,,
2,3,,,,,,,
3,4,0.051895979,0.662,0.637,0.523,0.297,0.897,0.452
4,5,,,,,,,
5,6,,,,,,,
6,7,,,,,,,
