,date,sum,sup1,sup2,sup3,sup4,sup5,sup6
0,1,,,,,,,
1,2,0.060477572,0.747,0.6579999999999999,0.625,0.39,0.9009999999999999,0.452
2,3,0.058973468,0.72,0.66,0.601,0.41700000000000004,0.887,0.457
3,4,0.06415397,0.7390000000000001,0.662,0.616,0.40700000000000003,0.897,0.452
4,5,0.06286266900000001,0.741,0.6629999999999999,0.608,0.40700000000000003,0.895,0.45399999999999996
5,6,0.059321287,0.757,0.655,0.632,0.38,0.888,0.439
6,7,,,,,,,
