,date,sum,sup1,sup2
0,1,0.051821092,0.057,0.444
1,2,0.066503013,0.071,0.452
2,3,0.065577569,0.07,0.457
3,4,0.066674304,0.07,0.452
4,5,0.069632495,0.076,0.45399999999999996
5,6,0.05976201,0.065,0.439
6,7,0.055982359,0.061,0.439
