,date,sum,sup1,sup2,sup3,sup4,sup5
0,1,,,,,,
1,2,0.058915420999999996,0.9009999999999999,0.747,0.49700000000000005,0.304,0.452
2,3,0.060132082,0.887,0.72,0.519,0.309,0.457
3,4,0.058311376,0.897,0.7390000000000001,0.523,0.297,0.452
4,5,0.057059961,0.895,0.741,0.51,0.285,0.45399999999999996
5,6,0.056324372000000004,0.888,0.757,0.515,0.261,0.439
6,7,,,,,,
