,date,sum,sup1,sup2,sup3,sup4,sup5
0,1,,,,,,
1,2,,,,,,
2,3,,,,,,
3,4,,,,,,
4,5,,,,,,
5,6,,,,,,
6,7,0.052354530999999996,0.655,0.5579999999999999,0.19699999999999998,0.772,0.439
