,date,sum,sup1,sup2,sup3,sup4
0,1,,,,,
1,2,0.051550992999999996,0.331,0.304,0.747,0.452
2,3,,,,,
3,4,,,,,
4,5,,,,,
5,6,,,,,
6,7,,,,,
