,date,sum,sup1,sup2,sup3,sup4
0,1,0.07959166,0.754,0.204,0.557,0.444
1,2,0.114818121,0.747,0.304,0.619,0.452
2,3,0.113196617,0.72,0.309,0.645,0.457
3,4,0.10986367300000001,0.7390000000000001,0.297,0.637,0.452
4,5,0.106920266,0.741,0.285,0.632,0.45399999999999996
5,6,0.09898633800000001,0.757,0.261,0.612,0.439
6,7,,,,,
